Time,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Urban population growth (annual %) [SP.URB.GROW],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Time required to start a business (days) [IC.REG.DURS],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Net migration [SM.POP.NETM],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],Agricultural land (% of land area),Rural population growth (annual %) [SP.RUR.TOTL.ZG],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural irrigated land (% of total agricultural land),Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],"Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]",Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS]
2000,CHN,1262645000,0.787956592953992,9562920,134.492481002789,..,71.881,1.628,..,96.6,36.7,7.4,..,..,59.2292213439941,..,1770005.5,..,19.5847701660208,3.64925271115854,898.987313140273,2.65040910152893,992.943384720171,1211331651829.85,8.49009340365161,2.06279261260364,14.6762416556975,45.5361031790749,20.8936972022379,18.5173176511617,33.5730284947725,..,..,..,..,1.83575968454189,6.744724531,..,..,39.1550075723294,106.0373147989,145906872763.7,13.1349160431843,-549792,758082000,42095300000,1749020019.53125,55.694583211727,-0.777935942516781,809645853,452999147,..,4.50828123,18.8534727562839,42.626202,1.69386988022684,..,0.14650852993033,2.03905175243341,39.4110148533996
2001,CHN,1271850000,0.726380637838525,9562914.2,135.473048750848,..,72.606,1.563,86.9,97.3,34.1,..,..,115.909858703613,62.1108283996582,0.964619994163513,1793615.33,..,19.6075224856909,4.05956575767596,928.811433738255,2.77476219679994,1076.54912135865,1339400897153.44,8.33573347577625,2.04704946627774,13.9834613517141,44.7934123374851,20.3121457441305,18.2152135304781,35.5415967185312,..,..,..,..,1.98308624365796,11.37860424,..,..,38.0506688537492,103.3232265708,184315443994.2,11.4697161899431,-485419,1209000000,47053000000,1497660034.17969,55.7578718644915,-1.18818624622676,800082679,471767321,..,4.25330067,19.1049681205612,45.150313,1.29916293448672,..,0.134243959482196,1.32058497741337,38.5273592746086
2002,CHN,1280400000,0.669999567758626,9562913.2,136.383779609948,5.7,72.985,1.566,..,96.7,31.5,6.8,..,..,62.8491706848145,..,1817225.16,..,19.630274805361,4.19800114764631,984.810714620431,2.96482122774133,1194.85629490784,1470557654824.11,9.1336307895447,0.602099076385315,13.3014877124239,44.4505675330598,22.6447456736337,20.1026579595055,36.1534434427804,..,..,..,..,2.05936465293746,16.08250443,..,..,42.2129658067877,97.6727376141,185465746540.1,12.1466869814639,-477885,2353070421.5742,53073618897.4036,1511520019.53125,55.8211320658973,-1.4701504963595,788406300,491993700,..,4.38285255,19.3564538990231,40.266971,2.40874595181268,..,0.114450402325318,1.24409369454799,42.7474036331392
2003,CHN,1288400000,0.622860936133583,9562912.7,137.235919250104,..,73.371,1.57,..,95.9,28.9,..,..,..,64.06201171875,..,1840834.99,..,19.6530271250311,4.07840352649768,1118.43177274138,3.43403647935424,1379.48463210183,1660280543870.95,10.038030484737,2.60317771538053,12.3489989650344,45.622784848513,26.9807565337606,24.8232314654237,39.6201305872789,..,..,..,..,1.99628893565843,20.94488156,..,..,51.255675020796,98.5413686816,207180503978.3,8.11986549717689,-527837,4625331810,57900937467.3864,1361550048.82813,55.8843892938216,-1.59563906823514,775926016,512473984,..,4.41762781,19.6079386867747,39.61961,2.59303061884704,..,0.134315827720248,1.28559248986066,51.8039879991843
2004,CHN,1296075000,0.593932815112141,9562912.5,138.053436689892,..,73.748,1.605,..,97.3,26.3,..,..,..,..,..,1864444.82,..,19.6757794447012,3.97537212954358,1268.13290434581,3.94515487143877,1585.83878247787,1955346768757.64,10.1136213788021,6.95199268014868,12.9166481665975,45.9002116658239,31.0613375820789,28.4441866411435,41.8471972600562,..,..,..,..,1.93850823279804,25.81891467,..,64.4444444444444,59.0460484271833,96.2476573291,247359209017.2,3.72629115340062,-458505,6641220178.7534,68117272181.2194,1709949951.17188,55.9476447513305,-1.70378331818298,762817902,533257098,..,4.29347467,19.8594228667065,48.196168,3.5257664671093,31.9750699696706,0.156262243265364,1.63506369666261,59.5055242232224
2005,CHN,1303720000,0.588124989556992,9562911.8,138.867766063821,5.9,74.111,1.624,..,97.5,24,4.5,..,..,..,..,1888054.65,..,19.6985317643713,3.88247297575862,1393.69132405731,4.46769636118185,1782.31215291627,2285961149904.26,11.3945918086888,3.90374426938611,11.6414956028384,47.0225784797453,33.829857565763,28.3780352996404,40.3461495461484,9.6250408259384,..,..,8.56924385774185,1.87185802294835,30.14865123,..,64.4444444444444,62.2016695279162,93.7821101328,285857036926.9,3.38467578740924,-519752,3337061829.2962,104108693867.085,1798339965.82031,56.0109031839269,-1.78102663063287,749352182,554367818,..,4.17605019,20.1109081284255,47.081484,5.79093366359019,32.093924328335,0.164824325904146,2.23061473485701,62.2078928654034
2006,CHN,1311020000,0.558374367373002,9562911.4,139.645342881819,..,74.504,1.644,84.6,97.8,22,..,92.4162292480469,106.496429443359,74.2114868164062,0.988039970397949,1911664.48,..,20.1926837072061,3.67472809325703,1515.1736777471,4.91027619715946,2039.0146603408,2752118657221.64,12.7209556639451,3.92654939808963,10.6257605276952,47.557397564672,36.0350255517218,28.4438583510772,39.9103386964563,10.1251615142811,..,..,9.05725398260403,1.8695916362794,35.11253649,..,57.7777777777778,63.9666823732529,94.8747172354,326419519861.6,2.63307518851185,-473105,4319492608.79338,124082035618.506,1268520019.53125,56.0741598447602,-1.81124634089962,735901746,575118254,..,3.94742203,20.3623927769671,32.733466,8.42416588601843,32.4523280561507,0.142534786756028,2.2255244607283,64.478883902799
2007,CHN,1317885000,0.522271866392275,9562910.8,140.376588050196,..,74.762,1.666,..,98.4,20.1,..,96.407600402832,106.728660583496,78.3460006713867,0.991550028324127,1935274.31,..,20.2175690568452,3.51125555182775,1630.17102857988,5.30636800631315,2325.92676902765,3550327803024.69,14.2308609340471,7.74968649156058,10.2461657565245,46.8841692336564,35.4347985285227,26.7585649477465,40.4821901689254,16.7345024758484,..,..,9.7714060646018,1.75016458545192,41.41509824,30.1508023319562,61.1111111111111,61.3062263756512,93.8920224223,377749152515.9,2.37686039838911,-438846,6833129702.14478,156249335203.202,1453219970.70313,56.1374176962452,-1.87748985110646,722214159,595670841,2.70073485374451,3.67491412,20.6138778860824,34.16308,9.94788923254984,32.3833531162009,0.125539522363848,1.75983053566581,62.1933634762691
2008,CHN,1324655000,0.51238693163744,9562910.8,141.097705219827,5.2,74.872,1.701,..,99.1,18.5,3.8,105.020690917969,107.430740356445,82.9210891723633,0.996969997882843,1958884.14,..,20.4806427530307,3.43395768889026,1672.90411994066,5.43507909606652,2446.36905458402,4594336785752.06,9.6506789183469,7.79534603755035,10.1690478477618,46.9711723603419,32.6027140172445,25.0100013258104,42.2690268145548,11.0765377345203,..,..,10.1014265265686,1.71604254580499,48.20785124,29.3636567240237,61.1111111111111,55.7917305485564,88.8723788024,386423097229.7,2.07153224336163,-469093,9136546899.82745,171534650311.569,1305540039.0625,56.2006719746855,-1.96321561084525,708173810,616481190,3.63178825378418,3.900002,20.8653616938384,49.780965,9.15406370398901,32.1194116032469,0.117610932160963,1.9902860340032,57.6127153430549
2009,CHN,1331260000,0.497381400884935,9562911,141.801244134798,..,75.343,1.714,..,99.3,17.1,3.4,105.660797119141,106.631637573242,88.7780380249023,1.00335001945496,1982493.97,..,20.7330512993708,3.33810246782671,1778.43351862146,5.79831993750282,2612.45662004417,5101691124358.41,9.3987256316321,-0.209533359181677,9.63618551428879,45.9571472864488,24.7498559385403,20.43501443934,45.3562358299686,11.6627061597538,..,..,10.3094417361443,1.89352379603523,55.79864972,31.9377905496789,62.2222222222222,43.2706517542773,96.5959343235,454495613318.6,2.91078502611598,-350365,9209489821,131057052869.5,1141390014.64844,56.2639250438662,-2.04298504800307,693852712,637407288,3.75152206420898,4.34958458,21.1168450517356,35.821657,4.76815553882067,31.5962380905777,0.11303728959797,0.899050539990343,45.1848703778803
2010,CHN,1337705000,0.482959688678361,9562911,142.487743405,5.1,75.599,1.687,..,99.6,15.8,3.4,104.896789550781,105.000213623047,91.5271835327148,0.98895001411438,2006103.8,..,20.8620996124996,3.25536549409244,1954.72255616896,6.33541976743751,2943.58995443689,6087191746738.57,10.6358710659572,6.88138025142841,9.32517694044618,46.4978311382266,27.1853327194133,23.5317449420668,46.5561547051595,11.2310799431158,..,..,10.2120486087439,1.73351986212832,63.71521287,32.1236545637555,65.5555566666667,48.8566998336043,87.0042466436,742737476056.6,2.89643097782304,-216417,13636040942,243703434558.178,671890014.648438,56.1834730812931,-2.13347423873235,679206337,658498663,3.75464248657227,4.23068333,21.3683288541342,32.745764,3.90673399988378,31.612821681214,0.114498931303681,1.22257362123247,50.7170776614801
2011,CHN,1345035000,0.546457594880274,9562911,143.268509836432,5.4,75.903,1.668,..,99.7,14.6,..,..,103.869262695312,92.9864196777344,0.992420017719269,2025471.54,..,21.1525471932881,3.12337717694482,2085.08302163141,6.90134732553428,3295.78486805176,7551545703518.14,9.55083217884199,8.07568446703404,9.17765379525794,46.5292894701549,26.5681893442734,24.1727152418324,46.6601210957256,11.2387260135935,..,..,10.3127948891895,1.65908251595704,72.67381064,30.4839309337386,68.8888888888889,48.2267491051973,83.8211644489,1054209569422.7,2.91665272408534,-147585,16568371453,280072219149.935,-603609985.351563,56.1036602181182,-2.01694146016743,665644371,679390629,3.52196502685547,4.34274387,21.574627370433,45.946864,1.80223714350487,32.0647911860951,0.111272165477375,1.54520918045373,50.7409045861059
