Year,Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Agricultural land (sq. km),Arable land (hectares),Land under cereal production (hectares),Permanent cropland (% of land area),Forest area (sq. km),Cereal production (metric tons),Crop production index (2014-2016 = 100),Food production index (2014-2016 = 100),Livestock production index (2014-2016 = 100),Cereal yield (kg per hectare),"Access to electricity, rural (% of rural population)","Agriculture, forestry, and fishing, value added (% of GDP)","Employment in agriculture, female (% of female employment)","Employment in agriculture, male (% of male employment)",Employment in agriculture (% of total employment),Rural population,Agricultural raw materials imports (% of merchandise imports)
2021,121.146026,157.2866929,363030,30510000,14703100,1.028694479,36845.6,51304736,116.81,126.52,126.64,3489.4,91.94331184,22.66250808,67.61557989,28.20156491,37.09803864,144765164,5.184309376
2020,121.146026,155.1508891,367230,30930000,14083007,1.028694479,37259,47226053,106.11,119.78,122.2,3353.4,91.45523249,21.85413255,68.26658729,29.22175531,38.01396942,142759072,5.896540215
2019,124.4481341,152.3852932,363230,30530000,13893543,1.028694479,37672.4,43912063,101.62,113.59,117.91,3160.6,90.74120583,20.67787132,69.20560189,29.46508958,38.30889771,140882429,4.158298467
2018,131.6315867,152.72362,369530,31160000,13735791,1.028694479,38085.8,43254398,94.81,107.09,113.49,3149,90.10956657,21.65123536,66.19092864,29.75009248,37.4164177,139164735,4.359260905
2017,131.6315867,152.4789491,370030,31210000,13928846,1.028694479,38499.2,44299994.5,105.3,108.4,109.95,3180.4,89.13969697,21.96320354,69.71551903,31.66749658,39.8655101,137526581,3.775898669
2016,119.0823036,144.5629558,367940,30990000,14087724,1.042963885,38682.4,42555022,100.42,101.73,101.48,3020.7,88.03216393,22.3283302,72.95817569,33.60368442,42.26808232,136156249,3.825212885
2015,119.9070156,137.4715789,362020,30400000,13961922,1.040369448,39326,41081682,97.14,100.15,100.59,2942.4,86.89541174,23.26284078,71.92431423,32.31405623,41.01000964,134965499,4.123555077
2014,132.7262463,134.8541393,362520,30440000,13959878,1.053341636,39648.26,41895811,102.44,98.12,97.93,3001.2,85.79587693,23.49273201,73.08249824,33.57364037,42.23319567,133657977,3.859041563
2013,141.2138249,135.7025927,362800,30470000,13363900,1.050747198,39970.52,40109711,101,103.52,106.31,3001.3,84.76111637,23.70759459,75.03842436,33.27256345,42.23656319,132210696,4.261712151
2012,134.2339405,117.3623677,360630,30240000,12749240,1.067611042,40292.78,36496350,94.49,83.64,79.25,2862.6,83.80755152,23.38619553,74.72727819,34.22568096,42.89598909,130608810,3.830395314
2011,126.2138992,128.522691,359360,30100000,13308200,1.084474886,40615.04,39304580,98.54,83.58,76.63,2953.4,82.91519749,23.81964298,74.36820952,35.12818136,43.49342119,128690602,4.936614092
2010,129.8517309,138.3047295,352420,29390000,13332376,1.105230386,40937.3,34811258,89.98,79.29,73.98,2611,82.05448963,22.68881017,73.97765688,35.25675912,43.38948456,126401257,4.913479589
2009,143.1763258,144.3274303,352770,29420000,13674300,1.11171648,41354.83,38147050,94.01,78.67,71.51,2789.7,75.17317087,21.78692297,72.79700669,35.84523597,43.30768721,123973649,4.250631586
2008,121.6576765,119.1546504,353130,29460000,13387900,1.106527605,41772.36,35528100,92.86,77.46,69.08,2653.7,73.69893988,20.35136528,75.25906202,37.42799606,44.69524956,121618092,4.939304686
2007,130.0573792,118.4234924,360130,30180000,13051400,1.08058323,42189.89,35812200,87.83,73.83,66.81,2743.9,72.24528013,19.93795143,72.67779345,36.93894622,43.6316276,119366136,4.998835163
2006,136.2317727,125.7302441,361350,30320000,12931600,1.057233292,42607.42,33027900,84.23,69.89,64.64,2554,70.81456445,20.41834605,69.05826894,37.60516348,43.38859252,117198541,3.589429819
2005,133.8314674,123.4834604,359650,30170000,12809800,1.031288917,43024.95,33507800,86.28,68.38,60.72,2615.8,69.40868686,21.5745097,67.21092693,37.88398089,43.06811768,115116972,4.191612782
2004,129.6745575,110.7789508,360450,30310000,12470000,0.953455791,43442.48,30311300,84.57,65.19,59.04,2430.7,68.02531267,22.00189001,67.32588048,38.09960368,43.06944634,113001810,5.843099682
2003,130.3053461,100.9701828,368420,31190000,12481100,0.845786633,43860.01,28963500,75.23,62.95,57.44,2320.6,66.65798981,22.15193734,64.3888029,37.74962296,42.0907394,110839491,4.94067766
2002,131.9291271,97.78475336,368840,31220000,12022100,0.861353259,44277.54,27172850,72.07,60.3,55.82,2260.2,65.29927195,22.70262754,64.48497664,37.95121551,42.09145924,108765682,4.815678321
2001,130.4031072,94.07188498,369720,31300000,12126700,0.871731009,44695.07,27048000,72.08,59.09,54.29,2230.5,63.94253195,24.1449605,66.33654639,40.53901328,44.55212881,106389285,4.284810377
2000,128.9388928,95.44136598,366980,31040000,12668100,0.853569946,45112.6,30460700,77.58,60.63,52.81,2404.5,62.57981686,25.38713604,66.89742954,40.99812657,45.01249928,103455636,3.232843146
