Boys Enrolled,Complete Primary Schools,Girls Enrolled,Primary Schools with single classroom,Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Area (km²),Bomb Blasts Occurred,Boundary wall,Building condition satisfactory,Complete Primary Schools,City,Drinking water,Drone attacks in Pakistan,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Gender parity score,Global Terrorism Index - Pakistan,Learning score,No Facility,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,Province,Retention score,School infrastructure score,Terrorist Attacks Affectees,Toilet,Total number of schools,Year
0.5477,0.936599424,0.4523,0.034582133,0.028818444,0.1706,0.162,0.2473,0.2495,768,41,15.58073654,30.02832861,325,Bagh,30.87818697,24,64.89409293,0.0259,10.76487252,81.75,95.22637174,9.07,67.8,0.1706,0.577371048,347,0.422628952,254,0.037,351415,12,10,AJK,14.8,24.92917847,5379,37.39376771,601,2013
0.625,0.594202899,0.375,0.359903382,0.04589372,0.1525,0.2021,0.1738,0.1543,1516,41,25.28473804,48.51936219,246,Bhimber,30.523918,24,74.48360991,0.0259,19.36218679,80.33333333,87.50110629,9.07,54.9,0.3174,0.695798319,414,0.304201681,181,0.037,301633,149,19,AJK,75.2,28.88382688,5379,20.72892939,595,2013
0.8663,0.9390681,0.1337,0.021505376,0.039426523,0.0535,0.0455,0.1631,0.2005,1516,41,7.971014493,13.76811594,262,Hattian,39.13043478,24,47.57908416,0.0259,7.608695652,78.75,63.36633663,9.07,48.2,0.5374,0.736147757,279,0.263852243,100,0.037,301633,6,11,AJK,0,22.46376812,5379,43.84057971,379,2013
0.6077,0.827225131,0.3923,0.041884817,0.130890052,0.0157,0.2244,0.0709,0.122,600,41,3.20855615,6.417112299,158,Haveli,27.80748663,24,53.02104197,0.0259,1.604278075,80.75,89.23416789,9.07,42.1,0.5669,0.729007634,191,0.270992366,71,0.037,150000,8,25,AJK,0,13.04812834,5379,26.20320856,262,2013
0.6075,0.592348285,0.3925,0.346965699,0.060686016,0.0712,0.2306,0.0978,0.136,2162,41,11.33069829,47.16732543,449,Kotli,17.12779974,24,69.42839506,0.0259,10.40843215,78.83333333,89.24691358,9.07,36.43333333,0.4644,0.731660232,758,0.268339768,278,0.037,834094,263,46,AJK,73.2,20.18445323,5379,14.88801054,1036,2013
0.5848,0.582191781,0.4152,0.173515982,0.244292237,0.8542,0.0128,0.0972,0.023,2310,41,61.07055961,67.63990268,255,Mirpur,43.30900243,24,71.77102051,0.0259,50.60827251,76.83333333,91.51741539,9.07,47.53333333,0.0128,0.706451613,438,0.293548387,182,0.037,754482,76,107,AJK,71.2,51.24087591,5379,33.57664234,620,2013
0.6836,0.940717629,0.3164,0.026521061,0.03276131,0.099,0.1083,0.1886,0.2433,2496,41,18.16770186,20.65217391,603,Muzaffarabad,33.38509317,24,55.98838988,0.0259,7.298136646,77.91666667,81.63689283,9.07,50.4,0.3609,0.718609865,641,0.281390135,251,0.037,638973,17,21,AJK,14,24.06832298,5379,40.83850932,892,2013
0.8078,0.737327189,0.1922,0.184331797,0.078341014,0.0408,0.2531,0.1347,0.2122,2496,41,13.48837209,29.76744186,160,Neelum,44.65116279,24,67.31347325,0.0259,4.651162791,74.66666667,69.22055967,9.07,55.36666667,0.3592,0.777777778,217,0.222222222,62,0.037,638973,40,17,AJK,70,27.06976744,5379,42.79069767,279,2013
0.626,0.846975089,0.374,0.112099644,0.040925267,0.0452,0.2543,0.0709,0.1553,855,41,4.416961131,17.66784452,476,Poonch,9.893992933,24,82.93829677,0.0259,1.413427562,78.75,87.40318706,9.07,77.6,0.4743,0.679564692,562,0.320435308,265,0.037,411035,63,23,AJK,88,9.717314488,5379,15.19434629,827,2013
0.5787,0.707042254,0.4213,0.225352113,0.067605634,0.0188,0.2602,0.0784,0.1411,569,41,3.125,61.64772727,251,Sudhnutti,8.806818182,24,74.76496119,0.0259,1.136363636,79.33333333,92.12651142,9.07,42,0.5016,0.718623482,355,0.281376518,139,0.037,204091,80,24,AJK,85.6,16.64772727,5379,8.522727273,494,2013
1,0.239631336,0,0.188940092,0.571428571,0.3594,0.0046,0.5438,0.0922,12510,41,41.50943396,5.660377358,52,Awaran,54.71698113,24,47.97837621,0.0259,0.943396226,85,46.86350484,9.07,22.45,0,0.812734082,217,0.187265918,50,0.037,118173,41,124,Balochistan,37.6,22.9245283,5379,11.79245283,267,2013
0.8821,0,0.1179,0.394316163,0.811722913,0.0324,0.3157,0.1672,0.4846,3514,41,31.17338004,31.52364273,0,Barkhan,64.44833625,24,43.24068464,0.0259,16.46234676,30,61.78773858,9.07,18.775,0,0.924466338,563,0.075533662,46,0.037,103545,222,457,Balochistan,62.4,29.03677758,5379,1.576182137,609,2013
0.8041,0.342723005,0.1959,0.122065728,0.535211268,0.2295,0.0246,0.4385,0.3074,44748,41,46.9072165,5.670103093,73,Chaghi,100,24,52.74691512,0.0259,6.18556701,47.5,69.58766046,9.07,31.1,0,0.825581395,213,0.174418605,45,0.037,300000,26,114,Balochistan,62.8,37.5257732,5379,28.86597938,258,2013
1,0.612244898,0,0.227891156,0.159863946,0.2222,0.0382,0.5104,0.2292,10160,41,11.07142857,5.357142857,180,Dera Bugti,78.92857143,24,25.72298774,0.0259,4.285714286,16.66666667,44.62528431,9.07,16,0,0.825842697,294,0.174157303,62,0.037,181310,67,47,Balochistan,25.6,20.5,5379,2.857142857,356,2013
0.8259,0.244239631,0.1741,0.230414747,0.525345622,0.4458,0.0161,0.3173,0.2209,12637,41,35.71428571,9.047619048,53,Gwadar,77.14285714,24,58.85270358,0.0259,37.61904762,80,67.4108143,9.07,50,0,0.794871795,217,0.205128205,56,0.037,185498,50,114,Balochistan,38,39.04761905,5379,35.71428571,273,2013
0.7475,0.280821918,0.2525,0.143835616,0.575342466,0.1205,0.1145,0.3916,0.3735,4096,41,11.25827815,17.21854305,41,Harnai,96.02649007,24,65.60324021,0.0259,9.933774834,81.66666667,75.24629419,9.07,53.9,0,0.863905325,146,0.136094675,23,0.037,140000,21,84,Balochistan,51.6,33.77483444,5379,34.43708609,169,2013
0.7961,0.142857143,0.2039,0.187122736,0.670020121,0.1241,0.2011,0.282,0.3929,2445,41,18.96135266,7.850241546,71,Jaffarabad,78.74396135,24,52.53404086,0.0259,19.56521739,44.16666667,70.39449675,9.07,53.175,0,0.878091873,497,0.121908127,69,0.037,432817,93,333,Balochistan,42.4,25.4589372,5379,2.173913043,566,2013
0.9221,0.194331984,0.0779,0.198380567,0.607287449,0.1068,0.2206,0.274,0.3986,3615,41,22.17573222,4.60251046,48,Jhal Magsi,100,24,66.4799318,0.0259,6.276150628,80,57.7947272,9.07,50.125,0,0.831649832,247,0.168350168,50,0.037,109941,49,150,Balochistan,78,28.20083682,5379,7.949790795,297,2013
1,0.225063939,0,0.350383632,0.42455243,0.4007,0.0505,0.4729,0.0758,7499,41,20.75471698,5.39083558,88,Kachhi,77.35849057,24,46.83749952,0.0259,22.91105121,75.83333333,48.91666476,9.07,45,0,0.863134658,391,0.136865342,62,0.037,288056,137,166,Balochistan,17.6,26.19946092,5379,4.582210243,453,2013
0.6295,0.228070175,0.3705,0.280701754,0.49122807,0.2671,0.1087,0.3475,0.2766,6622,41,38.99204244,9.549071618,91,Kalat,82.22811671,24,59.2797014,0.0259,7.692307692,84.16666667,87.05213892,9.07,31.5,0,0.836477987,399,0.163522013,78,0.037,237834,112,196,Balochistan,34.4,32.4137931,5379,23.60742706,477,2013
0.7425,0.442913386,0.2575,0.206692913,0.350393701,0.5711,0.0126,0.3703,0.046,22539,41,35.67010309,14.84536083,225,Kech,49.07216495,24,59.08943978,0.0259,23.09278351,65.83333333,75.7494258,9.07,50.375,0,0.765060241,508,0.234939759,156,0.037,413204,105,178,Balochistan,44.4,30.18556701,5379,28.24742268,664,2013
0.7153,0.054644809,0.2847,0.295081967,0.650273224,0.682,0,0.2995,0.0184,8958,41,18.28571429,20.57142857,10,Kharan,44,24,52.4012606,0.0259,8.571428571,73.33333333,78.47170906,9.07,29,0,0.788793103,183,0.211206897,49,0.037,132500,54,119,Balochistan,28.8,19.31428571,5379,5.142857143,232,2013
0.6248,0.321711569,0.3752,0.17274168,0.505546751,0.242,0.0778,0.3655,0.3147,35380,41,30.05181347,14.33506045,203,Khuzdar,70.63903282,24,50.99339044,0.0259,14.16234888,78.33333333,87.51522843,9.07,16.125,0,0.869146006,631,0.130853994,95,0.037,417466,109,319,Balochistan,22,30.08635579,5379,21.24352332,726,2013
1,0.194063927,0,0.235159817,0.570776256,0.167,0.1092,0.4197,0.3041,3293,41,38.84892086,23.02158273,85,Killa Abdullah,41.2470024,24,40.7938047,0.0259,15.10791367,78.33333333,30.91688545,9.07,35.125,0,0.857142857,438,0.142857143,73,0.037,370269,103,250,Balochistan,18.8,27.3381295,5379,18.46522782,511,2013
1,0.03142329,0,0.336414048,0.632162662,0.1309,0.2636,0.2382,0.3673,6831,41,30.52434457,21.16104869,17,Killa Saifullah,47.75280899,24,51.1882835,0.0259,23.97003745,44.16666667,46.68646735,9.07,48.3,0,0.892739274,541,0.107260726,65,0.037,193553,182,342,Balochistan,65.6,28.65168539,5379,19.85018727,606,2013
