Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
Pakistan,Aruba,2021,Exports & Imports,6,7,0.22,0.17,-159.36,6.39,165.75,0,0,13.29,7.84,26,76.92,23.08,0,0,35,0,0,163.05,2.6,13.29,7.84,26,76.92,23.08,0,0,35,0,0,163.05,2.6,
Pakistan,Afghanistan,2021,Exports & Imports,712,181,25.79,4.51,194816.81,833417.6,638600.8,0.88,2.89,7.39,4.72,323,84.83,15.17,0,0,35,0,0,402869.07,235705.57,11.34,7.02,323,86.07,13.93,0,0,35,0,0,469318.12,169256.52,1
Pakistan,Angola,2021,Exports & Imports,50,10,1.81,0.25,-299313.19,23364.38,322677.57,0.44,0.08,10.14,11.01,16,56.25,43.75,0,0,20,0,0,322615.07,36.84,10.14,11.01,16,56.25,43.75,0,0,20,0,0,322615.07,36.84,
Pakistan,Anguila,2021,Exports & Imports,,1,,0.02,,,11.56,0,,0,0,1,0,100,0,0,0,0,0,0,11.56,0,0,1,0,100,0,0,0,0,0,0,11.56,
Pakistan,Albania,2021,Exports & Imports,57,19,2.06,0.47,4999.28,5225.21,225.94,0,0.02,13.66,9.01,33,81.82,18.18,0,0,20,0,0,224.18,1.75,13.66,9.01,33,81.82,18.18,0,0,20,0,0,224.18,1.75,
Pakistan,Andorra,2021,Exports & Imports,5,1,0.18,0.02,1.08,1.78,0.69,0,0,17,17,3,100,0,0,0,20,11,0,0.69,0,17,17,3,100,0,0,0,20,11,0,0.69,0,
Pakistan,United Arab Emirates,2021,Exports & Imports,1313,2261,47.56,56.37,-6185124.64,1166733,7351857.64,10.09,4.05,12.89,5.68,3721,80.44,18.95,0,0.62,100,0,0,6886373.38,435616.94,12.89,5.68,3721,80.44,18.95,0,0.62,100,0,0,6886373.38,435616.94,
Pakistan,Argentina,2021,Exports & Imports,133,93,4.82,2.32,-109438.16,44658.86,154097.02,0.21,0.16,10.46,4.71,227,81.94,16.74,0,1.32,35,0,0,93375.36,60721.45,10.46,4.71,227,81.94,16.74,0,1.32,35,0,0,93375.36,60721.45,
Pakistan,Armenia,2021,Exports & Imports,11,3,0.4,0.07,109.71,112.06,2.35,0,0,3.3,6.03,6,50,50,0,0,11,0,0,2.11,0.2,3.3,6.03,6,50,50,0,0,11,0,0,2.11,0.2,
Pakistan,American Samoa,2021,Exports & Imports,7,1,0.25,0.02,-17.62,15.1,32.72,0,0,11,11,1,100,0,0,0,11,11,0,32.72,0,11,11,1,100,0,0,0,11,11,0,32.72,0,
Pakistan,Fr. So. Ant. Tr,2021,Exports & Imports,,1,,0.02,,,0.12,0,,11.83,11.83,6,66.67,33.33,0,0,20,0,0,0.12,0,11.83,11.83,6,66.67,33.33,0,0,20,0,0,0.12,0,
Pakistan,Antigua and Barbuda,2021,Exports & Imports,5,6,0.18,0.15,120.48,149.24,28.75,0,0,9.04,8.91,14,57.14,42.86,0,0,35,0,0,28.36,0.39,9.04,8.91,14,57.14,42.86,0,0,35,0,0,28.36,0.39,
Pakistan,Australia,2021,Exports & Imports,604,519,21.88,12.94,-368806.2,300273.31,669079.51,0.92,1.04,13,3.62,1155,84.59,15.06,0,0.35,100,0,0,557242.37,111375.38,13,3.62,1155,84.59,15.06,0,0.35,100,0,0,557242.37,111375.38,
Pakistan,Austria,2021,Exports & Imports,169,521,6.12,12.99,-141513.34,14744.98,156258.33,0.21,0.05,11.72,8.03,1097,81.77,18.23,0,0,100,0,0,139961.47,9148.26,11.72,8.03,1097,81.77,18.23,0,0,100,0,0,139961.47,9148.26,
