Time,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Urban population growth (annual %) [SP.URB.GROW],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Time required to start a business (days) [IC.REG.DURS],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Net migration [SM.POP.NETM],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],Agricultural land (% of land area),Rural population growth (annual %),Rural population,Urban population,"Government expenditure on education, total (% of GDP)",Current health expenditure (% of GDP),Forest area (% of land area) ,Agricultural irrigated land (% of total agricultural land),Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],"Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]",Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS]
2000,AFG,19542982,1.4438030241194,652860,29.963328887049,..,55.298,7.534,5.3,12.4,129.3,..,..,22.1629905700684,..,..,12084.4,..,43.0159066808059,1.86137729962901,..,0.0551666066110075,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,61.2210574436,..,..,-1007135,..,170000,136009994.506836,57.9458166597673,1.32580608474027,15228282,4314700,..,..,1.85278199408184,..,..,..,..,..,..
2001,AFG,19688632,0.742516834396313,652860,30.1866396823207,..,55.798,7.446,..,..,125.3,..,..,22.9085903167725,14.4715099334717,0,12084.4,..,43.0159066808059,1.15383861520503,..,0.0552927191691124,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,72.3638166443,..,..,-192286,..,680000,410359985.351563,57.9473498612453,0.625666867583049,15323859,4364773,..,..,1.85278199408184,5.66212461965868,..,..,..,..,..
2002,AFG,21000256,6.44932147797304,652860,32.1976235377091,..,56.454,7.339,..,..,121.2,..,..,75.9597473144531,..,..,12084.4,..,43.0159066808059,6.86345297807244,..,0.0668101379335566,..,3825701405.51958,..,..,38.6278918638443,23.8101270064854,..,..,..,..,..,..,..,..,0.119046168,..,..,66.7067219704619,71.3206070093,..,..,1327074,..,50000000,1223290039.0625,57.9396838538552,6.33104778193872,16325389,4674867,..,9.44339085,1.85278199408184,4.61762370997618,..,18.8227521829407,0.231561307228384,0.030789275783499,..
2003,AFG,22645130,7.54101896480183,652860,34.7195467856431,..,57.344,7.22,10.3,14.3,117,..,..,96.5536804199219,14.078049659729,0.544260025024414,12084.4,..,43.0159066808059,7.95344768841497,..,0.0730049683971786,..,4520946849.32079,8.8322778126357,11.655238211175,37.4188554431481,22.7108641828326,..,..,..,..,..,..,..,..,0.883192104,..,..,49.6577392927607,67.3243040412,..,..,388632,..,57799999.9,1538229980.46875,58.0838047927878,7.42260371898086,17583264,5061866,..,8.94125843,1.85278199408184,7.26428043501214,..,16.9238662341696,0.036729700085138,0.0256328025661278,..
2004,AFG,23553551,3.93317768847308,652860,36.112339205495,..,57.944,7.069,..,..,112.8,31.7,..,106.252662658691,19.2631397247314,0.40582001209259,12084.4,..,43.0159066808059,4.58865325754718,..,0.0548667587320485,..,5224896718.67782,1.41411798058977,11.271432071264,29.7210671376957,26.2267897500666,..,..,..,..,9.5,..,..,2.43125378739118,2.547386592,..,24.4444444444444,47.503331331458,74.7301836476,..,..,-248616,..,186900000,2268530029.29688,58.1512656578201,3.74368031073764,18254002,5299549,..,9.80847359,1.85278199408184,5.49989453701751,..,17.5540062570161,0.0283021705785469,0.0256051597697051,..
2005,AFG,24411191,3.57650800354462,652860,37.4272741210923,..,58.361,6.905,13.6,..,108.6,..,..,100.229690551758,20.3119602203369,0.547689974308014,12084.4,..,43.0159066808059,4.47468958963317,..,0.0803611343666108,..,6203256497.09044,11.2297148236429,10.9127735539374,31.114854912062,26.8120992326398,..,..,..,..,9.5,..,..,1.99206569856085,4.915778177,..,31.1111111111111,46.0242132715147,76.0945877851,..,..,252185,0,271000000,2815100097.65625,58.134400441562,3.31422737698589,18869118,5542073,..,9.94828892,1.85278199408184,5.83906954664135,..,16.5982122192596,0.0230939370293463,0.0258476198749782,..
2006,AFG,25442944,4.13967803534352,652860,39.0091593456296,..,58.684,6.722,18.6,18.9,104.3,..,..,103.932243347168,29.6913509368896,0.573230028152466,12084.4,..,43.0159066808059,5.03421600301046,..,0.0897569086344725,..,6971758332.88917,5.35740325126363,7.1997512890801,28.6359685844686,28.2107680719994,..,..,..,8.96753350012612,9.5,..,6.96759757507017,1.89623399634252,9.905952707,..,32.2222222222222,45.3257248618723,81.220683738,979344507.8,0.754695247067952,62684,0,238000000,2895830078.125,58.123668031216,3.87541461793337,19614729,5828215,4.68476057052612,10.62276554,1.85278199408184,6.08546557636508,..,16.3855371972017,0.0175735938615238,0.0214070372585048,..
2007,AFG,25903301,1.79319572747206,652860,39.7149793784401,..,59.111,6.53,..,..,100,..,..,101.086456298828,29.0891704559326,0.567200005054474,12084.4,..,43.0159066808059,2.68846842633562,..,0.109940042004685,..,9747886104.53251,13.8263195479762,22.52775619979,30.1050113574013,26.8822416082148,..,..,..,7.00919125001793,10.5,..,5.28345660398282,2.56626735198569,18.02123984,..,34.4444444444444,35.6590132745165,83.4993428832,2023034713.1,0.113481634587195,-942887,0,188690000,4982609863.28125,58.129800837128,1.5256272228491,19916271,5987030,4.17489528656006,9.90467453,1.85278199408184,5.93975840059081,..,17.7473095255876,0.0140511789653461,0.0144464639818204,..
2008,AFG,26427199,2.00233326232255,652860,40.5182205663646,..,59.852,6.376,22.8,24,95.9,..,..,103.413963317871,39.090030670166,0.586019992828369,12084.4,..,43.0159066808059,2.89394890008399,..,0.165573354936329,..,10109296957.6569,3.92498382161577,2.09628874882866,24.8922700059742,26.9156280026285,..,..,..,8.05270582231448,10.5,..,6.08796493020769,2.335545701939,29.88931593,..,45.5555555555556,35.2151095660872,84.6998677391,2143951791.1,0.402819292924976,221000,89540435.95,46033740,4811209960.9375,58.132867240084,1.73274317628769,20264376,6162823,4.38367223739624,10.25649548,1.85278199408184,5.77856313957168,-2.35799046796731,17.839116299,0.0162665856535653,0.015736313879498,..
2009,AFG,27385307,3.56128837446668,652860,41.9871931680542,..,60.364,6.235,..,..,91.8,..,..,99.3697204589844,44.3971710205078,0.609610021114349,12084.4,..,43.0159066808059,4.44926873597444,..,0.239506900543419,..,12416152648.0573,21.3905283931067,-2.1634044278301,29.2975010547259,21.8971222069406,..,..,..,10.5750824702327,9.5,..,8.48175836103604,2.08741255278385,38.34172829,..,46.6666666666667,30.1139983212516,90.0872451862,2480214113.7,0.487686262693032,-58881,140695166.3,56107246.5,6113120117.1875,58.132867240084,3.28966373410191,20942092,6443215,4.81063985824585,9.81848717,1.85278199408184,4.84228294123853,2.23601943444918,13.14987660941,0.0102634444245309,0.00524173800288766,..
