Time,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Urban population growth (annual %) [SP.URB.GROW],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Time required to start a business (days) [IC.REG.DURS],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Net migration [SM.POP.NETM],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural irrigated land (% of total agricultural land) [AG.LND.IRIG.AG.ZS],Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],"Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]",Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS]
2000,IND,1059633675,1.82218400218023,3287260,356.396219212361,..,62.669,3.35,46.9,42.5,91.6,..,..,93.3239517211914,44.705810546875,0.802240014076233,675910,..,42.2129668049793,2.59867555250261,416.083287462528,0.885077949226179,392.510175745406,468394937255.803,3.84099115659129,3.64497015989629,21.6110620465121,27.3258283775917,12.9972363113479,13.9036865990995,25.677316683955,11.7034288840812,..,..,8.81014349636308,2.94892990622572,0.337578456,..,..,20.0476120750036,95.9432276137,101131491179.6,17.081068777064,-149966,12883465957.0616,3584217307.18756,1383420043.94531,60.8689656564162,1.52676689585465,766464826,293168849,4.32479000091553,4.03493309,22.7334950003195,..,-0.982343805648837,15.9270230184323,0.174908287833233,1.19880896935781,26.9009229104474
2001,IND,1078970907,1.80844642123748,3287260,362.900086102805,..,63.091,3.303,..,..,88,..,..,92.7808609008789,44.9093208312988,0.809880018234253,677815,..,43.2544598893499,2.71157391943668,414.483430552776,0.883746998008724,392.360903573464,485441014538.638,4.82396626555771,3.21561601727176,21.6188848861438,26.4877773440307,12.5583796339108,13.4348751195257,29.9078889827325,11.0400508601551,..,..,8.07945444456957,2.9244355462896,0.606133118,..,..,19.3129540339937,93.8531780462,99500093585.5,17.9276097726641,-177306,14273018777.5311,5128093561.62688,1729609985.35156,60.7048321836142,1.46083674520266,777743809,301227098,..,4.26278067,22.7975675957473,32.2073057893366,0.290494936396436,15.3070212831531,0.15302460449569,0.869871197224191,25.9932547534365
2002,IND,1098313039,1.77676787418134,3287260,369.405601054759,..,63.616,3.217,..,..,84.5,..,..,93.0848770141602,46.7152404785156,0.830370008945465,679720,..,44.2959529737206,2.93770825491266,419.354274824374,0.897242648505059,408.776900626416,514937948874.212,3.80397532112175,3.71568377761413,19.5345432709546,27.6606541607882,14.2643839243147,15.2442790107467,30.2513001207186,11.5941347100743,..,..,8.67627393090217,2.82686683045838,1.183633404,..,..,20.5397563398142,85.0353445784,105741601402,20.9247343304358,-208070,15735736285.9137,5208967106.27894,1738209960.9375,60.7293849367178,1.32347936158798,788105504,310207535,..,4.24016762,22.8616401911751,31.5330084182543,1.3709411110344,15.5587017262956,0.228575727565643,0.898515923740017,29.5086629350614
2003,IND,1117415123,1.72426903226703,3287260,375.830378482371,..,64.094,3.122,53,..,81.1,..,..,100.774139404297,49.1428909301758,0.915700018405914,681625,..,45.3374460580913,2.87888612843243,422.057098828078,0.905456601736005,428.213284527025,607699285436.048,7.8603814759073,3.8677980853483,19.5919979784251,27.4741071211988,14.9479138581734,15.6445222747346,30.8396999424416,11.8531218371758,..,..,9.10808432214403,2.67777693222748,3.014994095,..,..,21.6424476960885,92.2984402248,118884622369.5,29.1805226437216,-255516,20999150983.0332,3681984671.43429,720900024.414063,60.6247834817149,1.26611650860371,798147274,319267849,3.61340999603271,4.00848055,22.9257127866029,30.7335963028921,1.44356106281762,15.587386648646,0.212533349770852,0.860363359311968,30.592436132908
2004,IND,1136264583,1.67281087022876,3287260,382.170188585324,8.5,64.524,3.046,..,..,77.7,..,..,..,50.757740020752,..,683530,..,43.2392600276625,2.82462858995052,437.133075721326,0.955470157428994,448.972015525718,709148514815.787,7.92293661259009,5.72541322901259,17.8146906485198,29.2191063048345,17.8591249627676,19.6446890960908,35.0964917009127,12.0829219681812,..,..,9.57081708035957,2.82875224798105,4.595760598,..,78.8888888888889,24.8782866090933,87.9574391064,123644485822.1,14.504454851842,-214351,18750377106.6241,5429250989.85717,778309997.558594,60.6671622062499,1.20833017897518,807850031,328414552,3.35254001617432,3.95739174,22.9897853820307,31.6329868329868,0.110018663963655,15.8272457402543,0.203889436106983,1.06043123794654,37.5038140588585
2005,IND,1154638713,1.60412916927926,3287260,388.350126631665,..,64.996,2.958,54.4,..,74.4,..,..,..,53.2971000671387,..,685435,..,43.4958333333333,2.74625194074982,447.027936261479,0.984261472618751,465.176677304081,820381595510.643,7.92343062107486,5.6219032611496,17.6202069550294,29.5337641906064,19.6052466949954,22.3964229202206,37.4282640188347,12.3350942451864,..,..,10.080931526437,2.91058750164482,7.806770983,..,77.7777777777778,29.5577084282426,84.2531383637,121195478444.5,14.9302344477445,-550186,22125089480.4982,7269407225.61438,1875959960.9375,60.5834137744308,1.13606772155523,817080085,337558628,3.18875002861023,3.79116249,23.0538579774586,32.8692137725814,-1.25350731467589,15.9730170447451,0.220626603025343,1.28780837185882,42.001669615216
2006,IND,1172373788,1.52430796041014,3287260,394.315125504929,..,65.412,2.864,56.3,45.5,71.1,43.5,..,..,54.0812492370605,..,687340,..,43.7524066390041,2.66029713783098,463.39977792134,1.03653392155165,506.222508618557,940259888794.351,8.06073257216011,8.40093821856824,16.8094420943196,30.9272399429001,21.2679414220466,24.4565390768962,38.9985063707731,13.3167898342563,..,..,11.1293370538995,2.68038156022763,14.16357152,..,80,31.929257387014,82.2238477809,159525518911.4,8.63523314642692,-678231,28333642279.8541,20029119267.1396,1383579956.05469,60.5094191760365,1.05120593337957,825714583,346659205,3.14284992218018,3.63477802,23.1179305728864,33.8165486420686,-0.988988302945319,17.3036533310705,0.198610657575394,1.33146821912931,45.7244804989428
2007,IND,1189691809,1.46637175001498,3287260,400.139852818017,..,65.788,2.784,..,..,67.8,..,..,107.923568725586,56.3115386962891,0.942560017108917,689245,..,44.008979944675,2.59963313831962,482.456440111541,1.1235994817209,538.786595949405,1216736438842.41,7.66081506586751,6.94441825353633,16.7501197596544,30.9032382502852,20.7996997487758,24.8865689302923,41.9507982283137,14.4395957807703,..,..,12.1083469903408,2.47824652803557,19.63701843,..,78.8888888888889,31.1923755945931,78.2945665592,204057539299.5,15.5909922080123,-769184,37216755275.2503,25227740886.6819,1329209960.9375,60.4132261981239,0.986740874111459,833902577,355789232,..,3.51754212,23.1820031683142,34.9320788330921,-0.663717648768545,16.8645677753036,0.0988812569418624,1.15214697247781,45.6862686790682
2008,IND,1206734806,1.42239150883577,3287260,405.872078810974,..,66.149,2.718,54.8,52.3,64.5,..,..,108.311706542969,59.2412605285645,0.967050015926361,691150,..,44.2655532503458,2.55287302199413,499.038799581952,1.18036124666151,558.426753458539,1198895139014.62,3.08669805952395,9.19396962617334,16.7909423596819,31.1367192401849,24.0973572599643,29.2708631788712,38.4224196519964,12.7597307965634,..,..,10.9771721521427,2.63146078124112,28.74616679,..,80,43.0279499192891,78.2945665592,227111768434.6,9.65799265540479,-846785,49977276916.3209,43406277075.8109,2011579956.05469,60.4593046525785,0.936148347296304,841745797,364989009,..,3.51468062,23.246075763742,34.6501109831606,-2.58337749257963,17.0986741488338,0.100824736385287,1.58498271088646,53.3682204388355
2009,IND,1223640160,1.39119493033754,3287260,411.558010083446,8.3,66.513,2.673,..,..,61.3,..,..,106.916801452637,58.4031181335449,0.989970028400421,693055,..,44.5221265560166,2.51230889183139,541.994376843597,1.27887360284089,595.605655832676,1341888016984.36,7.86188883244891,7.04036543443634,16.7442701564476,31.1213721119188,20.4005193745166,25.8723502687306,39.2567917557561,11.4202885919669,..,..,9.80972540646508,3.12938472737472,42.91212541,9.56530523039041,75.5555555555556,31.4564996972411,91.1579688347,256312241333.4,6.0184103184778,-803437,49203912008.5506,35581372929.6642,2456610107.42188,60.5639061075814,0.901135162197543,849365344,374274816,3.27824997901917,3.48537874,23.3101483591698,35.3416487104871,-1.95146209113334,17.1435776674193,0.139884600408234,0.638793187629364,46.2728696432471
