Time,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Urban population growth (annual %) [SP.URB.GROW],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Time required to start a business (days) [IC.REG.DURS],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Net migration [SM.POP.NETM],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL],"Government expenditure on education, total (% of GDP)",Current health expenditure (% of GDP),Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural irrigated land (% of total agricultural land),Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],"Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]",Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS]
2000,IRN,65544383,1.64539194870845,1745150,40.2418913774896,..,69.691,2.016,73.8,89.6,36.1,..,95.5446929931641,101.769493103027,79.6981964111328,0.933470010757446,93256.6,..,68.8692607003891,2.78233953467196,1876.93160526051,5.19428491683261,1548.37066663668,109591707801.431,5.84552747587396,24.9292605173053,9.06841932716681,40.3059101611596,21.4670575687982,19.7901898960966,35.100533489687,21.6289840749444,..,..,5.86128209638759,2.29504222152572,1.468615549,..,..,38.9053157901818,68.8873729258,8800053478.5,9.89091375825562,394594,536000000,39000000,129869995.117188,38.6085119968565,-0.348067313750214,23568449,41975934,4.03064012527466,4.72250843,5.72561948967313,..,11.3886353724995,16.6392250194367,2.30162442963997,30.6637746707723,41.2572474648948
2001,IRN,66674851,1.7100319119575,1745150,40.9359580294212,..,69.955,1.94,..,..,34.1,..,97.6490173339844,103.052101135254,79.3983612060547,0.936890006065369,94622.92,..,69.7647859922179,2.82184401269272,2001.85425236271,5.31037407192706,1638.41386012246,126878750295.583,2.39217271180297,14.8054189526999,8.31084200243545,39.9172619780987,19.303320356832,21.232246123348,35.2518166917606,21.9506777387386,..,..,5.74690355849208,2.41817929679324,3.130645166,..,..,33.4161551096834,63.2215610013,8280878565,4.02237704492502,393336,682000000,408118760,114559997.558594,39.1850241901815,-0.301270784111356,23497551,43177300,4.07168006896973,5.15979576,5.80950661853189,..,..,17.1481311475466,2.44405372220749,21.4882168458321,40.53556648018
2002,IRN,67327117,0.973524734407785,1745150,41.336425869987,..,70.445,1.865,73.3,..,32,..,94.5280609130859,103.720642089844,79.6945495605469,0.943650007247925,95989.24,..,70.6603112840467,2.06394771243319,2050.49911761408,5.49371213979057,1744.17092595841,128626917504.398,8.07882927923774,28.2796940893818,7.82554689746741,45.5029348794145,24.4139021535169,23.7587843982946,39.0541109970135,23.993807905975,..,..,4.99437771164826,2.17457636612743,3.385178367,..,..,37.9811636225594,62.8225179014,8934505230.4,5.05817526869159,-568950,851000000,3519380360,114540000.915527,39.3207102335519,-1.0616877704868,23249400,44077717,4.48487997055054,4.65182209,5.89339374739065,..,..,15.0966632121531,2.3496161139381,20.4437414632993,48.1726865518116
2003,IRN,67954699,0.927820930669199,1745150,41.7217386232471,..,69.823,1.824,..,..,30,..,91.3379364013672,105.510719299316,79.2627563476562,0.945330023765564,97355.56,..,71.5558365758755,1.9974138054089,2099.45404952791,5.73583734069663,1893.36428375615,153544751396.211,8.6392983956527,13.1363946157608,7.45109456118,45.0599495540528,24.62747283048,26.0516329444293,42.1052670449541,24.0634079001315,81.5,..,5.20132534960526,2.4050402653569,5.076729131,..,..,38.1309028590115,66.7876020664,14235372770.8,4.75746075702002,370945,1178000000,2877481499.9,131050003.051758,39.4563962769223,-1.13193389513737,22987716,44966983,4.36322021484375,4.95589161,5.97728087624942,..,..,14.7931353363178,2.05072226747438,22.0449174416527,50.6791057749094
2004,IRN,69061674,1.61586394638623,1745150,42.4013814189936,..,71.37,1.796,..,..,28.1,4.6,102.321502685547,108.460357666016,78.5519409179688,0.960309982299805,98721.88,..,72.3346303501945,2.66367222859408,2252.85571560284,6.04764373362858,2006.30815870464,190043433963.866,4.33666598322418,24.7082423900547,6.88957846937749,47.470472480013,25.2669282561482,26.0469290708994,45.9987878391683,24.6904334585584,81.5,..,5.19532335188804,2.83455780463948,7.34948591,..,64.4444444444444,38.7664011659607,76.6850551313,20950347846.7,5.25412526590457,369535,1032000000,3037299840,188649993.896484,39.5920823202927,-0.466085015298404,22880823,46180851,4.29662990570068,5.12801409,6.06116800510818,..,..,15.7024342777357,1.83655471628029,25.1990020398231,51.3138573270476
2005,IRN,70182594,1.61004001098983,1745150,43.0895859426803,5.3,71.838,1.775,..,97.3,26.3,..,111.325729370117,109.030731201172,77.5447311401367,0.965290009975433,100088.2,..,72.3346303501945,2.63514051880762,2460.26712834239,6.42318378827662,2067.10797836854,226452138295.726,3.18980408131023,20.1661916084688,6.50138220905541,49.6372490535759,30.3308191860484,24.1096760765685,38.7176635766975,30.9200488383496,80.5,..,6.65759371533812,3.03665449804817,12.12624458,..,72.2222222222222,42.5224512008141,96.6268956854,21393520935.6,5.55371193707272,323987,..,2889191670,100669998.168945,29.2437191483091,-0.491511732461065,22768637,47413957,4.05650997161865,5.29996157,6.14505513396694,..,..,15.0414920674171,2.44636854647738,31.6076762648214,54.4404952626169
2006,IRN,71275760,1.54559660977253,1745150,43.7607505095901,5,72.276,1.771,..,..,24.7,..,105.532127380371,110.641700744629,78.4934921264648,0.968400001525879,101454.52,..,72.3346303501945,2.54857265046887,2531.89028079111,6.79304015839326,2198.72787045694,266298911663.707,4.99979526935969,14.5825930244323,7.11821124096454,48.2599008755093,29.869035250349,23.2983234635772,38.6491173624239,29.9555043988961,80.5,..,6.21768140946726,3.31519380033441,21.58558393,..,73.3333333333333,44.2299967597098,109.3236156341,20494226261.2,4.01407964435412,252053,..,2317538500,117239997.86377,29.3794051916796,-0.57587910129633,22637894,48637866,4.28998994827271,5.15990877,6.22894226282571,..,..,15.0335061170804,2.45659210122043,31.5582038058527,53.1673587139261
2007,IRN,72319418,1.4536370817991,1745150,44.401518946929,..,72.772,1.768,..,..,23.1,..,103.718879699707,110.374961853027,78.0802764892578,0.988070011138916,102820.84,..,72.3346303501945,2.36536640248403,2640.22008584195,7.10933265530428,2275.93092632466,349881601462.439,8.15577351843464,22.9390613586981,7.1855682314446,48.2356631347908,28.8436124049704,21.0436945169436,39.7289451376198,28.460151676684,80.5,..,5.93768768949975,2.65398282115891,41.16460119,..,80,38.205781453287,110.5055819411,20834072180.2,3.43844729337367,139826,..,2017791750,103769996.643066,29.51509123505,-0.533803879455278,22517374,49802044,4.59680986404419,4.91188192,6.31282939168447,..,..,12.9076157655632,1.99708594942742,26.1252401169156,49.8873069219141
2008,IRN,73318394,1.37188502638988,1745150,45.0148542449471,..,72.624,1.767,..,..,21.7,..,106.786437988281,109.575981140137,81.5289993286133,0.965590000152588,104187.16,..,72.3346303501945,2.23075566946806,2790.83398908056,7.13393012945701,2383.0036429876,412336172443.795,0.250856552511053,19.4219808649055,6.12277259123879,47.6687887773276,26.577127451621,21.6522753221445,41.7574530936824,26.4364150460227,80.5,..,6.19780928808194,2.68334192055637,58.64831136,..,80,41.4877499071024,128.5865886254,16026650174.6,2.65369345916852,90815,..,1979988010,100470001.220703,28.6629092070041,-0.554306605276095,22392904,50925490,3.91375994682312,5.03990459,6.39671652054324,17.4702795330406,..,12.9684578028188,1.8467989298903,30.5659738980313,48.2294027737655
2009,IRN,74322685,1.36047026604448,1745150,45.6314527616101,5.3,72.698,1.766,..,97.7,20.4,..,108.347526550293,108.988128662109,83.8232498168945,0.956409990787506,105553.48,..,72.3346303501945,2.20203496139747,2747.84383798836,7.29652191655885,2458.7244123379,416397025729.898,1.00738546285622,4.59851691322106,6.92448961487588,43.096517297254,22.7114891379066,20.9880910865099,40.8981709172263,25.3762281584351,62.5,..,7.35847804148683,3.04770554917662,70.71192328,..,81.1111111111111,31.1236613116602,90.6385422587,18609984963.8,2.13943974620329,99224,..,2983421910,92569999.6948242,28.6636459638007,-0.58018451066977,22263360,52059325,3.84244990348816,6.11493444,6.480603649402,16.9801782967986,..,13.274489394773,2.28085971648197,17.5512587993854,43.6995802244165
