Time,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Urban population growth (annual %) [SP.URB.GROW],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Time required to start a business (days) [IC.REG.DURS],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Tax revenue (% of GDP),Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Net migration [SM.POP.NETM],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) ",Net official development assistance and official aid received (current US$) ,Agricultural land (% of land area) [AG.LND.AGRI.ZS],Rural population growth (annual %) [SP.RUR.TOTL.ZG],Rural population,Urban population,"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Forest area (% of land area) ,Agricultural irrigated land (% of total agricultural land),Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],"Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]",Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS]
2000,PAK,154369924,3.07555291166784,796100,200.251561851391,..,62.102,5.257,..,..,108.1,..,..,63.4712295532227,..,..,45112.6,..,313.745454545455,3.68074020517277,414.995656796462,0.637262087399875,334.171311764071,99484802344.5277,4.26008801112008,68.0104449967303,25.3871360412975,17.1836347813683,9.62962610417459,11.8303432242526,16.3106957674618,11.0604332012599,..,..,7.49968677287633,4.16872271381496,0.198544504,..,..,19.9950138425281,200.7221619679,33109821460,28.3883462787939,940739,1075000000,308000000,549619995.117188,47.6053341635533,2.779057589598,103455636,50914288,1.83782005310059,2.74935055,5.85209111664591,..,-0.0854401858342493,9.09419786344442,1.06406108831938,0.57523060801743,21.4599693284272
2001,PAK,159217727,3.09207918437975,796100,206.540222862183,9.8,62.421,5.123,27.6,23,105.3,31.2,..,63.471809387207,..,..,44695.07,..,316.065,3.69061284870334,408.924133177708,0.627048268312485,336.344457423387,97145618479.9038,3.65135017083765,6.01279243381738,24.1449605032819,17.5934942779914,10.626173080299,12.9510357640204,15.9969082232341,..,..,..,..,3.87893394479455,0.46640912,..,..,19.9998726695216,163.7185259907,32367945483.1,28.3609922987528,344288,1461000000,378000000,1785150024.41406,47.9607721046077,2.79619838163745,106389285,52828442,..,2.58692551,5.79792834163553,48.1986368062317,1.93318034244488,9.50507970295682,1.10586200793431,0.499846315824726,23.5772088443194
2002,PAK,163262807,2.50885975954029,796100,211.787576535907,..,62.626,5.008,..,23,102.8,..,..,63.8420181274414,..,..,44277.54,..,318.384545454546,3.10982280624176,403.272804197223,0.626753893800197,340.928843640426,97923302809.3537,2.59481668445784,3.92137857065688,22.7026275435674,17.1588876671988,11.2629655687308,11.8660550291576,14.9624128676958,..,..,..,..,4.07377016787657,1.040369219,..,..,21.5944513648289,155.3908138313,34320831455.5,23.4884398779098,-834546,3554000000,826000000,1951550048.82813,47.8466168534662,2.20909949222436,108765682,54497125,..,2.70006347,5.74376556662516,48.9100965188157,3.93573326208505,9.37396407430594,1.38103962241738,0.55283472801061,23.1290205978884
2003,PAK,166876680,2.1893881210377,796100,216.475560398506,..,62.843,4.88,32.1,..,100.5,..,..,65.7692565917969,19.9118404388428,..,43860.01,..,320.704090909091,2.78676116269803,412.444842502859,0.633183138590725,362.734924975737,112371913740.823,5.40131087314342,3.55265807996106,22.1519373367714,17.3885833649452,12.1646439105383,12.4855222112119,15.314869932058,..,..,..,..,4.09142718735613,1.440824446,..,..,22.2190751842019,145.3776098779,37037199280.5,20.57828748111,-578225,3964000000,534000000,1043199951.17188,47.7921336654213,1.88872659077614,110839491,56037189,..,2.3364768,5.68960279161478,49.4544270126486,3.17962013910419,9.55790085767696,1.42372959467998,0.522591846064124,24.6501661217502
2004,PAK,170648620,2.23514920732307,796100,221.368591739311,9.2,63.052,4.754,..,..,98.5,..,..,69.646858215332,21.908519744873,..,43442.48,..,323.023636363636,2.8319351661406,432.394167617646,0.693317062862858,379.14751376249,132216048339.413,7.83125556961251,7.25134298416322,22.0018900085347,18.9071452885794,11.4229741601222,13.3853667088544,15.6507804875207,..,..,..,..,3.95603411669147,2.9434214,..,73.3333333333333,23.6945517533376,138.6049945351,36934077634.9,26.4328910810836,-524871,3945000000,1118000000,1327510009.76563,46.7582503113325,1.93207085039203,113001810,57646810,1.76759004592896,2.25784397,5.6354400166044,52.1015397419892,-0.617928012719509,10.4529515062226,1.53358885408368,0.661270328742457,24.8083408689766
2005,PAK,174372098,2.15849215504399,796100,226.198757264425,9.3,62.466,4.637,..,31,96.5,..,54.3838195800781,73.1828079223633,22.8122806549072,..,43024.95,..,325.343181818182,2.75173797684307,438.783732475364,0.697409169212382,408.717913114746,145208562960.767,7.2765744364722,5.55608176808067,21.5745096992331,19.9330293059047,12.2518459289151,17.6266520708267,16.2664496448573,..,..,..,..,3.89701939256291,7.324109273,..,80,28.5162246328323,123.2369286186,34578129331.9,12.5255176506603,-632467,4280000000,2201000000,1476699951.17188,46.6544728102947,1.85449229618228,115116972,59255126,2.04972004890442,2.58859682,5.58127724159402,52.773529820659,-2.48346235681318,11.7625563843915,1.74837050193472,0.913653665209943,29.8784979997418
2006,PAK,178069984,2.0985131417675,796100,230.995724366957,..,63.731,4.526,26,56,94.6,..,53.2989692687988,69.8638076782227,27.5696792602539,0.783940017223358,42607.42,..,328.077272727273,2.69118574430988,447.607200324115,0.742989902217322,429.449131640288,161871385506.36,6.05163767569996,5.99763817670407,20.4183460540925,20.199119664936,12.5489433238569,20.5007688187365,18.2822175766145,..,..,..,..,3.64525520437771,19.37808733,..,81.1111111111111,28.884042632824,114.7781994237,37723507983.7,10.9065082166379,-628923,5121000000,4273000000,2059510009.76563,46.875,1.79206690149681,117198541,60871443,2.39550995826721,2.86177489,5.52711446658364,52.9403625294036,-4.16812395772995,12.614233382602,1.58009187746378,0.883595451345289,33.0497121425934
2007,PAK,181924521,2.14152397156301,796100,235.995902085928,9.7,63.852,4.51,29.6,38.8,92.9,..,53.3750114440918,74.2201995849609,29.4775695800781,0.804989993572235,42189.89,..,330.811363636364,2.73361322023607,461.601072457956,0.80150437774136,423.901074885886,184140869997.46,4.4448143398844,10.3313245916728,19.9379514329097,19.9449553163591,11.6250762010115,19.1628042450621,17.5359418391763,..,..,..,..,3.51198610011098,34.55098392,..,85.5555555555555,27.3855554178144,107.4252191129,42604467681.2,11.5103014207252,-563471,5998000000,5590000000,2003900024.41406,46.7167393109174,1.8326114380868,119366136,62558385,2.63527011871338,2.81689181,5.47295169157327,53.0364035209508,-4.50796175781862,12.4814845583431,0.910234348934176,0.947147229187945,30.7878804460736
2008,PAK,185931955,2.17888921699852,796100,241.1944206621,..,64.036,4.432,27,40,91,..,52.9285087585449,73.9127197265625,29.6895599365234,0.811029970645905,41772.36,..,333.636363636364,2.7674926074888,444.070498801564,0.756912387652784,389.642544230764,202203748583.854,2.1204410433083,10.9204672720775,20.351365282755,21.1955484525846,11.8758184433912,22.4731419747865,17.9964211904041,..,..,..,..,3.45937100362745,47.3397604,1.92473501305901,84.4444444444444,30.9845887817546,94.4938397531,50185422683.6,11.4140075646411,-525915,7039000000,5438000000,1060079956.05469,45.8086861768369,1.86901987188938,121618092,64313863,2.74622988700867,2.71266907,5.41878891656289,54.6257752102625,-7.74194351471585,13.2562890060339,0.816351312264696,1.0846584932923,34.3489604181778
2009,PAK,190123222,2.2291625346925,796100,246.631410855127,..,64.14,4.36,..,41,89.2,..,53.0357704162598,74.1731033325195,29.5907192230225,0.830179989337921,41354.83,..,332.890909090909,2.81432287523418,440.811017814541,0.764440547930542,403.154329038249,187337783856.466,3.47255059567348,12.3746262931271,21.7869229749534,20.3372467582902,12.390986505409,20.9358990809684,17.577731282158,..,..,..,..,3.26522399322955,49.62151862,1.76706144452903,83.3333333333333,26.2579171096041,106.2752931276,57000598838.8,15.2831543643106,-338507,8717000000,2338000000,2532870117.1875,45.7619863013699,1.91832935977563,123973649,66149573,2.59078001976013,2.474589,5.36462614155251,55.0500325991439,-2.13167355660601,12.5394663712103,1.02766760910678,0.525570260608523,33.3268855863775
